full_name,email
John  Doe,john-doe@bogusemail.com
Mary Smith-Robinson,maryjacobs@bogusemail.com
Dave Smith,davesmith@bogusemail.com
Jane Stuart,janestuart@bogusemail.com
Tom Wright,tomwright@bogusemail.com
Steve Robinson,steverobinson@bogusemail.com
Nicole Jacobs,nicolejacobs@bogusemail.com
Jane Wright,janewright@bogusemail.com
Jane Doe,janedoe@bogusemail.com
Kurt Wright,kurtwright@bogusemail.com
Kurt Robinson,kurtrobinson@bogusemail.com
Jane Jenkins,janejenkins@bogusemail.com
Neil Robinson,neilrobinson@bogusemail.com
Tom Patterson,tompatterson@bogusemail.com
Sam Jenkins,samjenkins@bogusemail.com
Steve Stuart,stevestuart@bogusemail.com
Maggie Patterson,maggiepatterson@bogusemail.com
Maggie Stuart,maggiestuart@bogusemail.com
Jane Doe,janedoe@bogusemail.com
Steve Patterson,stevepatterson@bogusemail.com
Dave Smith,davesmith@bogusemail.com
Sam Wilks,samwilks@bogusemail.com
Kurt Jefferson,kurtjefferson@bogusemail.com
Sam Stuart,samstuart@bogusemail.com
Jane Stuart,janestuart@bogusemail.com
Neil Robinson,neilrobinson@bogusemail.com
Tom Patterson,tompatterson@bogusemail.com
Sam Jenkins,samjenkins@bogusemail.com
Steve Stuart,stevestuart@bogusemail.com
